,url,price,area,location,latitude,longitude,bedrooms,bathrooms,property_type,parking,laundry,EV_charging,air_conditioning,furnished,smoking,wheelchair_accessible,cats_allowed,dogs_allowed,city,zip_code,state,neighbourhood
8649,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-great-location-faux-wood/7600363917.html,3545,657,santa cruz,36.96363,-122.056784,1,1.0,2.0,5,2,0,0,0,1,1,1,1,Santa Cruz,95064,California,None
8650,https://sfbay.craigslist.org/eby/apa/d/fremont-open-house-saturday-check-us/7600656568.html,2425,828,fremont / union city / newark,37.550921,-121.989358,1,1.0,2.0,1,1,0,1,0,0,0,1,1,Fremont,94536,California,None
8651,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-reserved-parking-subway-tile/7598482059.html,2475,779,santa rosa,38.413714,-122.711845,1,1.0,2.0,3,4,0,0,0,1,0,0,0,Santa Rosa,95404,California,None
8652,https://sfbay.craigslist.org/sby/apa/d/santa-clara-feel-the-convenience-of/7600262209.html,2895,845,santa clara,37.353886,-121.995082,2,1.0,2.0,3,1,0,0,0,1,0,1,1,Santa Clara,95051,California,None
8653,https://sfbay.craigslist.org/eby/apa/d/concord-sunny-studio-in-concord-avl-cal/7599771185.html,1595,400,berkeley,37.977009,-122.040528,0,1.0,2.0,5,1,0,0,0,1,0,1,1,Concord,94520,California,None
8654,https://sfbay.craigslist.org/sby/apa/d/san-jose-1bed-1bath-on-top-floor/7595063132.html,2855,730,san jose north,37.370984,-121.879867,1,1.0,2.0,4,4,1,1,0,0,1,1,1,San Jose,95131,California,None
8655,https://sfbay.craigslist.org/eby/apa/d/dublin-its-like-living-in-park-come/7592973744.html,2500,807,dublin / pleasanton / livermore,37.723507,-121.911019,1,1.0,2.0,3,4,0,1,0,0,0,1,1,Dublin,94588,California,None
8656,https://sfbay.craigslist.org/sby/apa/d/santa-clara-open-concept-living-space/7590234525.html,2695,688,santa clara,37.340265,-121.986478,1,1.0,2.0,3,1,0,0,0,1,0,1,1,Santa Clara,95051,California,None
8657,https://sfbay.craigslist.org/pen/apa/d/menlo-park-bed-harwood-floors-d-all-new/7600360754.html,3995,800,menlo park,37.45272,-122.168126,2,1.0,2.0,3,4,0,0,0,1,0,1,1,Menlo Park,94025,California,None
8658,https://sfbay.craigslist.org/pen/apa/d/mountain-view-in-home-washers-and/7600320653.html,4066,1041,mountain view,37.4056,-122.0775,2,2.0,2.0,3,4,1,0,0,0,1,1,1,Mountain View,94043,California,None
8659,https://sfbay.craigslist.org/eby/apa/d/berkeley-bedroom-apartment-near-uc/7596901324.html,3100,575,berkeley,37.865037,-122.258359,1,1.0,2.0,2,1,0,0,0,0,0,0,0,Berkeley,94705,California,Southside
8660,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-inc-fully/7595476091.html,3950,1000,SOMA / south beach,37.780021,-122.402223,2,1.0,5.0,5,4,0,0,0,0,0,0,1,San Francisco,94158,California,None
8661,https://sfbay.craigslist.org/pen/apa/d/redwood-city-stylish-features-public/7600680375.html,2942,679,redwood city,37.53932,-122.249472,1,1.0,2.0,3,4,0,0,0,1,0,1,1,Redwood City,94065,California,None
8662,https://sfbay.craigslist.org/pen/apa/d/mountain-view-bed-bath-available-now/7600448592.html,4001,1136,mountain view,37.395209,-122.098837,2,2.0,2.0,0,4,1,0,0,1,0,1,1,Mountain View,94040,California,None
8663,https://sfbay.craigslist.org/nby/apa/d/napa-three-bedroom-napa-condo-on-river/7591930585.html,3500,1684,napa county,38.318097,-122.28234,3,2.5,4.0,5,4,0,0,0,1,0,0,0,Napa,94558,California,None
8664,https://sfbay.craigslist.org/pen/apa/d/palo-alto-one-month-free-jr-one-bedroom/7600717053.html,3526,606,palo alto,37.450289,-122.161524,1,1.0,2.0,3,1,0,1,0,1,1,0,0,Palo Alto,94301,California,Downtown North
8665,https://sfbay.craigslist.org/eby/apa/d/hayward-six-weeks-free-on-select/7600447078.html,3095,948,hayward / castro valley,37.674,-122.0894,2,2.0,2.0,5,4,0,1,0,0,0,1,1,Hayward,94541,California,None
8666,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-best-bedroom-flat-in/7600061104.html,3872,1105,sunnyvale,37.401794,-122.015319,2,2.0,7.0,3,4,1,1,0,0,0,1,1,Sunnyvale,94089,California,None
8667,https://sfbay.craigslist.org/pen/apa/d/los-altos-bed-bath-unit-available-250/7592269497.html,3756,1076,mountain view,37.399167,-122.107104,2,2.0,2.0,5,4,0,1,1,0,1,1,1,Los Altos,94022,California,None
8668,https://sfbay.craigslist.org/sby/apa/d/san-jose-come-take-look-at-this-gem-1x1/7600358976.html,1995,625,san jose south,37.289975,-121.878172,1,1.0,2.0,3,1,0,1,0,0,0,0,0,San Jose,95125,California,None
8669,https://sfbay.craigslist.org/sby/apa/d/cupertino-2br-apt-with-d-take-virtual/7599601573.html,2700,840,cupertino,37.308817,-122.033179,2,1.5,2.0,1,4,0,0,0,1,0,1,1,Cupertino,95014,California,None
8670,https://sfbay.craigslist.org/sby/apa/d/san-jose-starting-at-newly-renovated/7594607627.html,2100,632,willow glen / cambrian,37.309763,-121.91491,1,1.0,2.0,1,1,0,0,0,1,0,0,0,San Jose,95126,California,Fruitdale
8671,https://sfbay.craigslist.org/eby/apa/d/vallejo-spa-hot-tub-sauna-newly/7600643670.html,2170,826,vallejo / benicia,38.079706,-122.238344,2,1.0,2.0,3,4,0,0,0,1,1,1,1,Vallejo,94525,California,None
8672,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-studio-great/7597346980.html,2050,400,russian hill,37.7917,-122.4186,0,1.0,2.0,2,0,0,0,1,1,0,1,0,San Francisco,94164,California,Chinatown
8673,https://sfbay.craigslist.org/eby/apa/d/walnut-creek-250-security-deposit-for/7590981679.html,3120,955,walnut creek,37.9182,-122.0717,2,2.0,2.0,1,4,0,1,0,0,0,1,1,Walnut Creek,94597,California,None
8674,https://sfbay.craigslist.org/sby/apa/d/san-jose-north-valleyberryessa/7594429002.html,3600,1580,san jose north,37.3864,-121.88,3,2.5,5.0,5,1,0,0,0,0,0,0,0,San Jose,95131,California,None
8675,https://sfbay.craigslist.org/sby/apa/d/los-altos-1br-1ba-apt-pets-are-welcomed/7590511086.html,2495,725,mountain view,37.399799,-122.101652,1,1.0,2.0,1,4,0,0,0,1,0,1,1,Mountain View,94043,California,Castro City
8676,https://sfbay.craigslist.org/eby/apa/d/oakland-air-conditioning-garage-parking/7596932459.html,2595,825,oakland east,37.776498,-122.201164,2,1.0,2.0,5,1,0,0,0,1,0,0,0,Oakland,94619,California,Melrose
